
  Provided flags:
    --config-name = ./runtime-env.js
    --env-file = ./.env

  Your environment variables will be available on 'window.__RUNTIME_CONFIG__'
  
./runtime-env.js does not exist. Creating one...
Successfully generated your runtime-env config!
  Result: window.__RUNTIME_CONFIG__ = {"REACT_APP_AUTH_ENABLED":"true","REACT_APP_AUTH_TYPE":"oidc","REACT_APP_TIMEZONE":" ","REACT_APP_SCRIPTING_DISABLED":"false","REACT_APP_TARGETED_PODS_UPDATE_DISABLED":"false","REACT_APP_PRESET_FILTERS_CHANGING_ENABLED":"true","REACT_APP_BPF_OVERRIDE_DISABLED":"false","REACT_APP_RECORDING_DISABLED":"false","REACT_APP_STOP_TRAFFIC_CAPTURING_DISABLED":"false","REACT_APP_CLOUD_LICENSE_ENABLED":"true","REACT_APP_SUPPORT_CHAT_ENABLED":"true","REACT_APP_DISSECTORS_UPDATING_ENABLED":"true","REACT_APP_SENTRY_ENABLED":"false","REACT_APP_SENTRY_ENVIRONMENT":"production"};

  Thank you for using runtime-env-cra-fallback!
  
2024/11/11 16:15:08 [notice] 1#1: using the "epoll" event method
2024/11/11 16:15:08 [notice] 1#1: nginx/1.25.3
2024/11/11 16:15:08 [notice] 1#1: built by gcc 12.2.1 20220924 (Alpine 12.2.1_git20220924-r10) 
2024/11/11 16:15:08 [notice] 1#1: OS: Linux 5.15.0-1071-azure
2024/11/11 16:15:08 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/11/11 16:15:08 [notice] 1#1: start worker processes
2024/11/11 16:15:08 [notice] 1#1: start worker process 18
2024/11/11 16:15:08 [notice] 1#1: start worker process 19
2024/11/11 16:15:08 [notice] 1#1: start worker process 20
2024/11/11 16:15:08 [notice] 1#1: start worker process 21
10.224.0.144 - - [11/Nov/2024:16:15:22 +0000] "GET /api/item/10.224.2.230:30001/000000000655.pcap-0?r=&q=!dns%20and%20!tcp%20and%20!udp%20and%20!icmp HTTP/1.1" 200 1883 "http://127.0.0.1:8899/?q=%21dns+and+%21tcp+and+%21udp+and+%21icmp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:22 +0000] "GET /api/query/filters HTTP/1.1" 200 68 "http://127.0.0.1:8899/?q=%21dns+and+%21tcp+and+%21udp+and+%21icmp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:22 +0000] "GET /api/pods/target/settings HTTP/1.1" 200 75 "http://127.0.0.1:8899/?q=%21dns+and+%21tcp+and+%21udp+and+%21icmp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:22 +0000] "GET /static/media/source-sans-pro-cyrillic-ext-400-normal.de95c5209ef26bf69ccf.woff2 HTTP/1.1" 200 5024 "http://127.0.0.1:8899/api/v1/namespaces/default/services/kubeshark-front:80/proxy/static/css/main.8bcb0ede.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:22 +0000] "GET /static/media/source-sans-pro-latin-900-normal.f5f31d7141577092acc5.woff2 HTTP/1.1" 200 14188 "http://127.0.0.1:8899/api/v1/namespaces/default/services/kubeshark-front:80/proxy/static/css/main.8bcb0ede.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:22 +0000] "GET /static/media/duplicate.43e87ad6dbcfed336f13cd9003c0ecf6.svg HTTP/1.1" 200 629 "http://127.0.0.1:8899/?q=%21dns+and+%21tcp+and+%21udp+and+%21icmp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:22 +0000] "GET /api/pcaps/download/10.224.2.230:30001/000000000655.pcap?r= HTTP/1.1" 200 91747 "http://127.0.0.1:8899/?q=%21dns+and+%21tcp+and+%21udp+and+%21icmp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:23 +0000] "GET /static/media/source-sans-pro-latin-ext-600-normal.f881aed697c9496a0e8e.woff2 HTTP/1.1" 200 20428 "http://127.0.0.1:8899/api/v1/namespaces/default/services/kubeshark-front:80/proxy/static/css/main.8bcb0ede.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:23 +0000] "GET /api/settings/status HTTP/1.1" 200 112 "http://127.0.0.1:8899/?q=%21dns+and+%21tcp+and+%21udp+and+%21icmp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
10.224.0.144 - - [11/Nov/2024:16:15:24 +0000] "GET /api/license HTTP/1.1" 200 197 "http://127.0.0.1:8899/?q=%21dns+and+%21tcp+and+%21udp+and+%21icmp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0"
